W,p,cohens_d,n,mean_a,mean_b,model_a,model_b,metric
945.0,0.05638664951974971,0.3448744905125022,71,0.6978442491368562,0.6697330126436672,tcn,anfis,auc_post
13.0,4.222146988800816e-13,1.7038190646995084,71,0.2728590964574738,0.021149910388113546,tcn,anfis,mcc_post
1.0,2.535751594055008e-13,2.570960543914801,71,0.6663393824485372,0.3585028690662494,tcn,anfis,acc_post
1053.0,0.19732402456379017,0.26774267668710927,71,-0.002622500292827772,-0.20764403346471957,tcn,anfis,DR
31.0,8.992693200384854e-13,-1.7007538790354702,71,0.6169345990336969,0.850775959190269,tcn,anfis,dsi_post
42.0,1.4200960763802816e-12,-1.5605003379208455,71,0.15669462965624362,0.26716832733825097,tcn,anfis,ece_post
176.0,2.7142372019097766e-10,0.8902785919255606,71,0.6978442491368562,0.5706666407818516,tcn,har,auc_post
0.0,2.429760002086979e-13,2.232286752302238,71,0.2728590964574738,0.0,tcn,har,mcc_post
1272.0,0.972574917153671,-0.07105487745607267,71,0.6663393824485372,0.673948009041906,tcn,har,acc_post
1208.0,0.6883549609042017,0.20093453549389373,71,-0.002622500292827772,-0.09122470456901326,tcn,har,DR
0.0,2.429760002086979e-13,-2.894201536050616,71,0.6169345990336969,0.9992121140516014,tcn,har,dsi_post
111.0,2.2823040402059853e-11,1.1666972629035453,71,0.15669462965624362,0.06679489915174416,tcn,har,ece_post
234.0,2.2048383347252976e-09,0.9258816369576741,71,0.6978442491368562,0.6303218618606017,tcn,garch,auc_post
9.0,3.564090462723507e-13,1.9228164808112143,71,0.2728590964574738,0.019257910186298986,tcn,garch,mcc_post
1260.0,0.9178542040367362,-0.07493515017938232,71,0.6663393824485372,0.6741870978960183,tcn,garch,acc_post
1216.0,0.7224024430674437,0.18392546226570589,71,-0.002622500292827772,-0.0793693430182532,tcn,garch,DR
5.0,3.0070444336810076e-13,-2.2286756241686074,71,0.6169345990336969,0.9335444127767495,tcn,garch,dsi_post
217.0,1.2066632157262464e-09,1.0089783459524384,71,0.15669462965624362,0.07957011309608221,tcn,garch,ece_post
0.0,2.429760002086979e-13,2.508489790357462,71,0.6978442491368562,0.5,tcn,majority,auc_post
0.0,2.429760002086979e-13,2.232286752302238,71,0.2728590964574738,0.0,tcn,majority,mcc_post
1272.0,0.972574917153671,-0.07105487745607267,71,0.6663393824485372,0.673948009041906,tcn,majority,acc_post
1263.0,0.931508121758933,-0.017866481207569434,71,-0.002622500292827772,0.0,tcn,majority,DR
0.0,2.429760002086979e-13,-2.898177779469198,71,0.6169345990336969,1.0,tcn,majority,dsi_post
151.0,1.0642918114312815e-10,-1.1894030496071122,71,0.15669462965624362,0.3260519909580944,tcn,majority,ece_post
22.0,6.169912329398491e-13,2.102174762345065,71,0.6697330126436672,0.5,anfis,majority,auc_post
935.0,0.10325661117483055,0.23378211262961532,71,0.021149910388113546,0.0,anfis,majority,mcc_post
0.0,3.5541406619720776e-13,-2.0332224849509477,71,0.3585028690662494,0.673948009041906,anfis,majority,acc_post
1017.0,0.13478734998769185,-0.2919026547386883,71,-0.20764403346471957,0.0,anfis,majority,DR
0.0,2.429760002086979e-13,-2.6214284379911623,71,0.850775959190269,1.0,anfis,majority,dsi_post
727.0,0.0015932507941407044,-0.38775476246752694,71,0.26716832733825097,0.3260519909580944,anfis,majority,ece_post
