model,n_windows,auc_post_mean,auc_post_lo,auc_post_hi,mcc_post_mean,mcc_post_lo,mcc_post_hi,bal_post_mean,bal_post_lo,bal_post_hi,acc_post_mean,acc_post_lo,acc_post_hi,f1_post_mean,f1_post_lo,f1_post_hi,ece_post_mean,ece_post_lo,ece_post_hi,dsi_post_mean,dsi_post_lo,dsi_post_hi,acc_pre_mean,acc_pre_lo,acc_pre_hi,DR_mean,DR_lo,DR_hi
tcn,71,0.678,0.6629,0.6934,0.2379,0.2172,0.2611,0.6166,0.6065,0.6276,0.637,0.6205,0.6539,0.5006,0.4755,0.5267,0.1695,0.1515,0.1889,0.6481,0.6207,0.6762,0.6568,0.6387,0.675,0.0211,-0.0097,0.0514
anfis,71,0.6176,0.6009,0.6347,0.007,-0.0147,0.0275,0.5042,0.4979,0.5103,0.3656,0.3467,0.3845,0.485,0.4644,0.5051,0.2633,0.248,0.2793,0.8409,0.8207,0.8589,0.364,0.3364,0.3924,-0.1413,-0.2774,-0.0184
har,71,0.5316,0.5,0.5609,0.0,0.0,0.0,0.5,0.5,0.5,0.6668,0.6492,0.6848,0.0,0.0,0.0,0.0641,0.0542,0.0748,0.9997,0.9995,0.9998,0.6644,0.6324,0.6942,-0.0642,-0.1515,0.0109
garch,71,0.6061,0.5885,0.623,0.0105,-0.0049,0.0303,0.503,0.4992,0.5087,0.6663,0.6486,0.6839,0.0179,0.0056,0.035,0.0723,0.0616,0.0837,0.9586,0.9483,0.9679,0.6644,0.6324,0.6942,-0.0615,-0.145,0.011
majority,71,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.6668,0.6492,0.6848,0.0,0.0,0.0,0.3332,0.3152,0.3508,1.0,1.0,1.0,0.6644,0.6324,0.6942,0.0,0.0,0.0
