model,n_windows,auc_post_mean,auc_post_lo,auc_post_hi,mcc_post_mean,mcc_post_lo,mcc_post_hi,bal_post_mean,bal_post_lo,bal_post_hi,acc_post_mean,acc_post_lo,acc_post_hi,f1_post_mean,f1_post_lo,f1_post_hi,ece_post_mean,ece_post_lo,ece_post_hi,dsi_post_mean,dsi_post_lo,dsi_post_hi,acc_pre_mean,acc_pre_lo,acc_pre_hi,DR_mean,DR_lo,DR_hi
tcn,71,0.685,0.6683,0.7026,0.2543,0.2289,0.2815,0.6274,0.6148,0.6411,0.6581,0.6431,0.6731,0.5083,0.4816,0.5369,0.153,0.1376,0.1698,0.6181,0.5876,0.6482,0.6681,0.6506,0.6856,0.0038,-0.0282,0.0362
anfis,71,0.6364,0.618,0.6559,0.0136,-0.0061,0.0344,0.5072,0.4999,0.515,0.3685,0.3513,0.3873,0.489,0.4691,0.5095,0.2607,0.2467,0.275,0.8424,0.8289,0.8547,0.3628,0.3355,0.3905,-0.1552,-0.2959,-0.0324
har,71,0.563,0.5367,0.5888,0.0,0.0,0.0,0.5,0.5,0.5,0.6653,0.6474,0.6835,0.0,0.0,0.0,0.0634,0.0534,0.0743,0.9994,0.9992,0.9996,0.6598,0.6274,0.6916,-0.0637,-0.1413,0.0071
garch,71,0.61,0.5912,0.6279,0.0122,-0.0056,0.0329,0.5035,0.4988,0.5095,0.662,0.6446,0.6794,0.0331,0.0167,0.053,0.0781,0.0678,0.0889,0.931,0.916,0.9457,0.6625,0.6306,0.694,-0.0504,-0.123,0.0161
majority,71,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.6653,0.6474,0.6835,0.0,0.0,0.0,0.3347,0.3165,0.3526,1.0,1.0,1.0,0.6598,0.6274,0.6916,0.0,0.0,0.0
