model,n_windows,auc_post_mean,auc_post_lo,auc_post_hi,mcc_post_mean,mcc_post_lo,mcc_post_hi,bal_post_mean,bal_post_lo,bal_post_hi,acc_post_mean,acc_post_lo,acc_post_hi,f1_post_mean,f1_post_lo,f1_post_hi,ece_post_mean,ece_post_lo,ece_post_hi,dsi_post_mean,dsi_post_lo,dsi_post_hi,acc_pre_mean,acc_pre_lo,acc_pre_hi,DR_mean,DR_lo,DR_hi
tcn,71,0.6978,0.6797,0.7167,0.2729,0.2449,0.3026,0.636,0.6217,0.6506,0.6663,0.6495,0.683,0.5065,0.4761,0.5371,0.1567,0.1391,0.1751,0.6169,0.5861,0.6481,0.6731,0.6531,0.6933,-0.0026,-0.0369,0.0308
anfis,71,0.6697,0.6511,0.6881,0.0211,0.0009,0.0419,0.5089,0.5018,0.5169,0.3585,0.3399,0.378,0.4851,0.4627,0.5069,0.2672,0.2513,0.2838,0.8508,0.8371,0.8632,0.3537,0.325,0.382,-0.2076,-0.3822,-0.0547
har,71,0.5707,0.5384,0.6011,0.0,0.0,0.0,0.5,0.5,0.5,0.6739,0.6553,0.6933,0.0,0.0,0.0,0.0668,0.0558,0.0785,0.9992,0.9989,0.9995,0.6616,0.6284,0.6951,-0.0912,-0.1909,-0.0054
garch,71,0.6303,0.6081,0.6519,0.0193,-0.0,0.0427,0.5068,0.5003,0.5157,0.6742,0.656,0.6929,0.0361,0.0154,0.0633,0.0796,0.0681,0.0918,0.9335,0.9177,0.9472,0.6663,0.6345,0.6986,-0.0794,-0.174,0.0033
majority,71,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.6739,0.6553,0.6933,0.0,0.0,0.0,0.3261,0.3067,0.3447,1.0,1.0,1.0,0.6616,0.6284,0.6951,0.0,0.0,0.0
