model,transition,n,auc_post_mean,mcc_post_mean,DR_mean,dsi_post_mean
tcn,same_regime,31,0.6894,0.2724,-0.0234,0.6023
tcn,regime_shift,40,0.6816,0.2402,0.0248,0.6303
anfis,same_regime,31,0.6399,0.0099,-0.1543,0.8505
anfis,regime_shift,40,0.6337,0.0164,-0.156,0.8361
