wid,model,regime_changed,auc_post,mcc_post,bal_post,acc_post,ece_post,dsi_post,acc_pre,DR
0,tcn,0,0.6279974256261166,0.19639098755759565,0.6013548752205418,0.6025641025641026,0.15900578564749315,0.5618458277934111,0.6666666666666667,0.09615384615384613
0,anfis,0,0.5968680864946425,0.10112020539724816,0.5135135135135135,0.3888888888888889,0.20594900602727764,0.8507656315880165,0.3301282051282051,-0.17799352750809067
0,har,0,0.4640166382904973,0.0,0.5,0.6280864197530864,0.039779713491592095,0.9996076203333992,0.6762820512820513,0.07126557837458315
0,garch,0,0.5530498435062751,0.0256200797708782,0.5025385627045378,0.6280864197530864,0.07665975627364707,0.9199075451347453,0.6762820512820513,0.07126557837458315
0,majority,0,0.5,0.0,0.5,0.6280864197530864,0.37191358024691357,1.0,0.6762820512820513,0.0
1,tcn,0,0.6406377502981608,0.18510024791090418,0.5966919841817839,0.6474358974358974,0.19734965634938234,0.851466998324793,0.6128472222222222,-0.05643931139681837
1,anfis,0,0.6450452302631579,-0.012902606661296372,0.496984649122807,0.3132716049382716,0.2869318275264016,0.8822539016485319,0.3782051282051282,0.17168863779033267
1,har,0,0.5672286184210527,0.0,0.5,0.7037037037037037,0.036406778903370185,0.9999986837327989,0.6891025641025641,-0.021188630490956106
1,garch,0,0.6414131030701754,0.0,0.5,0.7037037037037037,0.006038569885585321,0.9984894171086343,0.6891025641025641,-0.021188630490956106
1,majority,0,0.5,0.0,0.5,0.7037037037037037,0.2962962962962963,1.0,0.6891025641025641,0.0
2,tcn,0,0.577824980191844,0.09541110382348048,0.5608152531229454,0.5400641025641025,0.34072093633958744,0.620638458143018,0.6458333333333333,0.1637717121588089
2,anfis,0,0.5363242535685345,-0.24088215781463798,0.4536713831577635,0.1743827160493827,0.40245099785381266,0.8709091935181238,0.28205128205128205,0.38173400673400676
2,har,0,0.35811568908558256,0.0,0.5,0.8117283950617284,0.1444307438443005,0.9999983507160032,0.7275641025641025,-0.11567955620819069
