wid,model,regime_changed,auc_post,mcc_post,bal_post,acc_post,ece_post,dsi_post,acc_pre,DR
0,tcn,0,0.7149952082981001,0.29481109379844656,0.6405293421275156,0.6899038461538461,0.0696816055330997,0.5233739436139523,0.6961805555555556,0.00901592173412627
0,anfis,0,0.7006144361028395,0.04515006671846819,0.5048966153588055,0.35648148148148145,0.26346466446548333,0.8664029025889715,0.3301282051282051,-0.07982740021574967
0,har,0,0.29915488822715264,0.0,0.5,0.6512345679012346,0.01606539985103428,0.9999914333778764,0.6955128205128205,0.06366274108209588
0,garch,0,0.6700708803422388,0.021697509395015527,0.5036383844314893,0.6466049382716049,0.1556324732738189,0.8881368639687326,0.6955128205128205,0.07031916709336063
0,majority,0,0.5,0.0,0.5,0.6512345679012346,0.3487654320987654,1.0,0.6955128205128205,0.0
1,tcn,0,0.745948905109489,0.33323409965511663,0.6665276329509906,0.671474358974359,0.07143874038966037,0.6064961665812281,0.7152777777777778,0.0612397311426437
1,anfis,0,0.6366120218579234,0.03083171009600577,0.5088071154516917,0.45524691358024694,0.16406763616351436,0.8417851081571455,0.3076923076923077,-0.47955246913580246
1,har,0,0.36985040499166766,0.0,0.5,0.5648148148148148,0.10253935143265719,0.99986407029992,0.7692307692307693,0.26574074074074083
1,garch,0,0.679203968530791,0.0,0.5,0.5648148148148148,0.10120784843374009,0.9735812990652308,0.7692307692307693,0.26574074074074083
1,majority,0,0.5,0.0,0.5,0.5648148148148148,0.4351851851851852,1.0,0.7692307692307693,0.0
2,tcn,0,0.7388107870854472,0.3660784957120131,0.6933310096433136,0.7291666666666666,0.16754151675036738,0.4910487262967037,0.6909722222222222,-0.05527638190954771
2,anfis,0,0.6295382318952234,-0.003137834905009826,0.4990851309707242,0.30401234567901236,0.3247853221923665,0.8048377212690446,0.4391025641025641,0.30765071640984043
2,har,0,0.37792517334360554,0.0,0.5,0.7283950617283951,0.06127507988088815,0.9993602314861387,0.5544871794871795,-0.313637336758724
2,garch,0,0.6811440677966103,-0.041645310516992905,0.4968220338983051,0.7237654320987654,0.07319208709094822,0.9305575375759432,0.5544871794871795,-0.30528794690644395
2,majority,0,0.5,0.0,0.5,0.7283950617283951,0.2716049382716049,1.0,0.5544871794871795,0.0
3,tcn,0,0.7750488694688646,0.49030987067015197,0.7367372965514357,0.7516025641025641,0.0668919305018603,0.47879932913949996,0.6527777777777778,-0.15139116202945987
3,anfis,0,0.7226795344876525,-0.0014384209629420485,0.49965742362993926,0.42746913580246915,0.2384899454180548,0.7689963625489258,0.41346153846153844,-0.033878840080390556
3,har,0,0.7057464739103624,0.0,0.5,0.5817901234567902,0.0855698681806547,0.9993577885366992,0.6923076923076923,0.15963648834019198
3,garch,0,0.6522849843883055,0.0,0.5,0.5817901234567902,0.11916347413104493,0.9310775500701305,0.6923076923076923,0.15963648834019198
3,majority,0,0.5,0.0,0.5,0.5817901234567902,0.4182098765432099,1.0,0.6923076923076923,0.0
4,tcn,1,0.7912463457816938,0.49143774941419627,0.745373039074402,0.7459935897435898,0.06098292517209558,0.4055690410702961,0.7222222222222223,-0.03291420118343183
4,anfis,1,0.6837061311587852,0.07497992856188294,0.5271977289181877,0.529320987654321,0.13601135640401185,0.7237583622262459,0.2467948717948718,-1.1447811447811447
4,har,1,0.6213275921198034,0.0,0.5,0.49691358024691357,0.17006339502883455,0.9990432904536348,0.7532051282051282,0.34026792750197005
4,garch,1,0.5763536943184849,0.0,0.5,0.49691358024691357,0.13722362857704587,0.9284118951858856,0.7532051282051282,0.34026792750197005
4,majority,1,0.5,0.0,0.5,0.49691358024691357,0.5030864197530864,1.0,0.7532051282051282,0.0
5,tcn,1,0.6717013888888889,0.18700897463454513,0.6104166666666667,0.5520833333333333,0.2984930678294637,0.7836170411035138,0.640625,0.13821138211382125
5,anfis,1,0.43462026014109345,-0.15110290165053092,0.4176587301587302,0.3256172839506173,0.31914041471886045,0.809304544965769,0.5673076923076923,0.4260305503243356
5,har,1,0.6933697089947091,0.0,0.5,0.7777777777777778,0.11109489757024754,0.9978193046898582,0.40705128205128205,-0.9107611548556431
5,garch,1,0.6786127645502646,-0.03494749533587141,0.4880952380952381,0.720679012345679,0.168521524677434,0.7363360786086108,0.40705128205128205,-0.7704870224555264
5,majority,1,0.5,0.0,0.5,0.7777777777777778,0.2222222222222222,1.0,0.40705128205128205,0.0
6,tcn,0,0.6738795057886052,0.25033821550622826,0.627020645801752,0.703525641025641,0.13734287332343414,0.5191342518900657,0.7170138888888888,0.018811696777798485
6,anfis,0,0.658184670160718,-0.016713731358393085,0.49816998020590836,0.26080246913580246,0.3240603856558418,0.8303244675347373,0.33974358974358976,0.23235499650593996
6,har,0,0.5971466630149264,0.0,0.5,0.7422839506172839,0.07485407638351721,0.998747295258439,0.6666666666666666,-0.11342592592592593
6,garch,0,0.5929139641714493,0.06516675989198295,0.5143476041679634,0.7345679012345679,0.06725551751188218,0.8692354714784458,0.6794871794871795,-0.08106219426974146
6,majority,0,0.5,0.0,0.5,0.7422839506172839,0.25771604938271603,1.0,0.6666666666666666,0.0
7,tcn,0,0.7827069098554065,0.437175051391933,0.7196247050535097,0.7387820512820513,0.08939456011359699,0.4545401182630661,0.6753472222222222,-0.09392920703974697
7,anfis,0,0.7636475612587963,0.032894777234799125,0.5029632396740941,0.38580246913580246,0.24467263370752337,0.782418184723216,0.20833333333333334,-0.8518518518518517
7,har,0,0.7250295314345715,0.0,0.5,0.6188271604938271,0.04917375387103662,0.9984605206236954,0.8108974358974359,0.23686136729614995
7,garch,0,0.7269680050884934,0.11235779958393909,0.5101214574898786,0.6265432098765432,0.14372636406465158,0.9064954587267451,0.8108974358974359,0.22734592299809692
