wid,model,regime_changed,auc_post,mcc_post,bal_post,acc_post,ece_post,dsi_post,acc_pre,DR
0,tcn,0,0.6512921731545576,0.20332590102325793,0.60471019760017,0.6185897435897436,0.11311524509428403,0.6791112970222637,0.5607638888888888,-0.10311979042629212
0,anfis,0,0.6688783819280274,0.10018048746260763,0.5141843971631206,0.36574074074074076,0.2471898301608032,0.8786818388650651,0.3717948717948718,0.01628352490421455
0,har,0,0.5212188074599422,0.0,0.5,0.6527777777777778,0.01560008962647419,0.9990208696455979,0.6314102564102564,-0.03384094754653136
0,garch,0,0.5860047281323877,0.0,0.5,0.6527777777777778,0.08642003090963066,0.9348067850626172,0.6314102564102564,-0.03384094754653136
0,majority,0,0.5,0.0,0.5,0.6527777777777778,0.3472222222222222,1.0,0.6314102564102564,0.0
1,tcn,0,0.5578369291826236,0.13857111287033627,0.5609998862472985,0.6802884615384615,0.1343009305926852,0.6683653629260977,0.6111111111111112,-0.11319930069930047
1,anfis,0,0.5956557104723499,-0.06081199849410544,0.4973821989528796,0.2932098765432099,0.3005923644444088,0.8834312165788791,0.34935897435897434,0.1607203533809037
1,har,0,0.5126880291452336,0.0,0.5,0.7052469135802469,0.037884597374803375,0.9998656500664003,0.6634615384615384,-0.06298085525138673
1,garch,0,0.5317401216676022,0.0,0.5,0.7052469135802469,0.020937028062512724,0.945698691837944,0.6634615384615384,-0.06298085525138673
1,majority,0,0.5,0.0,0.5,0.7052469135802469,0.29475308641975306,1.0,0.6634615384615384,0.0
2,tcn,0,0.6189453125,0.11235619151231893,0.5677389705882353,0.7435897435897436,0.324402234588678,0.8659362492230281,0.5486111111111112,-0.3554040895813047
2,anfis,0,0.36761049002194124,-0.2321760464161524,0.4300804513634939,0.13117283950617284,0.5216615212690316,0.7915002362278144,0.391025641025641,0.6645415907710991
2,har,0,0.5882352941176471,0.0,0.5,0.8688271604938271,0.20111398614437806,0.9995143744494414,0.6282051282051282,-0.3830309901738473
2,garch,0,0.5902413540904816,0.0,0.5,0.8688271604938271,0.194387564868338,0.9698159865629737,0.6282051282051282,-0.3830309901738473
2,majority,0,0.5,0.0,0.5,0.8688271604938271,0.13117283950617284,1.0,0.6282051282051282,0.0
3,tcn,0,0.835582038731645,0.6242446406538393,0.7815865077676101,0.8149038461538461,0.15898838500157955,0.6491884992257049,0.7881944444444444,-0.03388681802778721
3,anfis,0,0.6850093928614254,-0.07728889500986133,0.4893281106359167,0.38580246913580246,0.21758727653434978,0.8831748508910605,0.13782051282051283,-1.7993109388458224
3,har,0,0.17851432910987647,0.0,0.5,0.6080246913580247,0.05927091225190784,0.9999923362714376,0.8621794871794872,0.2947817706182018
3,garch,0,0.7809065110516007,0.0,0.5,0.6080246913580247,0.0628234541533298,0.9614013178949717,0.8621794871794872,0.2947817706182018
3,majority,0,0.5,0.0,0.5,0.6080246913580247,0.39197530864197533,1.0,0.8621794871794872,0.0
4,tcn,1,0.7455518573307034,0.34785849490080945,0.6698717948717949,0.6698717948717949,0.0842316675429734,0.6325348591961085,0.8541666666666666,0.21575984990619126
4,anfis,1,0.6101381257631258,-0.06395082379109712,0.48340201465201466,0.4675925925925926,0.14629659800140626,0.7888387888770788,0.15705128205128205,-1.977324263038549
4,har,1,0.3189293345543345,0.0,0.5,0.5185185185185185,0.14873095790605745,0.9998528956746204,0.8493589743589743,0.38951781970649896
4,garch,1,0.6571466727716728,0.0,0.5,0.5185185185185185,0.13719501959267494,0.9717557170016071,0.8493589743589743,0.38951781970649896
4,majority,1,0.5,0.0,0.5,0.5185185185185185,0.48148148148148145,1.0,0.8493589743589743,0.0
5,tcn,1,0.5946113264427217,0.08872682991699213,0.5570628768303186,0.4551282051282051,0.35598128780913657,0.8570318361106248,0.7013888888888888,0.35110434120335104
5,anfis,1,0.5274862825788752,-0.04198087805296924,0.48240740740740745,0.22993827160493827,0.3929546216048621,0.8354854367059342,0.6923076923076923,0.6678669410150891
5,har,1,0.5012688614540466,0.0,0.5,0.8333333333333334,0.16626536562174501,0.9994414758382063,0.2564102564102564,-2.2500000000000004
5,garch,1,0.516820987654321,-0.09143373894445826,0.4759259259259259,0.7932098765432098,0.1938823692751503,0.8573079973182457,0.2564102564102564,-2.093518518518519
