metric,naive_p,naive_d,naive_n,nonoverlap_p,nonoverlap_d,nonoverlap_n,nadeau_bengio_p,nadeau_bengio_t
AUC,9.69521240904272e-09,0.4506789126550594,213,0.009022970451042056,0.57825757222845,36,0.5046340198425063,0.6683550394632233
MCC@0.5,4.223843203954511e-36,1.644183729867995,213,2.9103830456733704e-11,1.743826945512776,36,0.015579062111009585,2.4383179483300754
MCC@heldout-Youden,2.1854774993710647e-06,0.3450556903544948,213,0.026030924898805097,0.38525909132314634,36,0.6093822311562072,0.5117162198365376
