task,model,n,AUC,MCC_0p5,MCC_oracle,MCC_heldout_youden,MCC_heldout_base
vol_regime,tcn,213,0.681,0.2473,0.3142,0.2356,0.2506
vol_regime,anfis,213,0.6413,0.0139,0.2659,0.1894,0.202
vol_regime,har,213,0.5551,0.0,0.0037,0.0631,0.0674
vol_regime,garch,213,0.6155,0.014,0.2201,0.1364,0.1512
