W,p,cohens_d,n,mean_a,mean_b,policy
6230.0,9.69521240904272e-09,0.4506789126550594,213,0.6809528566300711,0.6412520091195607,AUC (ranking)
98.0,4.223843203954511e-36,1.644183729867995,213,0.24728469720193388,0.013900244911492119,MCC@0.5 (naive)
6314.0,1.6740435461975405e-08,0.45298036858904284,213,0.3142485037361339,0.2659391589165557,MCC@oracle (ceiling)
7131.0,2.1854774993710647e-06,0.3450556903544948,213,0.23556497989142497,0.18937730911128206,MCC@heldout-Youden (honest)
6980.0,9.431351297685723e-07,0.36684006739750386,213,0.25055650707117577,0.20196668109242094,MCC@heldout-base (honest)
